"year"	"max_1"	"max_10"	"max_11"	"max_12"	"max_2"	"max_3"	"max_4"	"max_5"	"max_6"	"max_7"	"max_8"	"max_9"	"mean_1"	"mean_10"	"mean_11"	"mean_12"	"mean_2"	"mean_3"	"mean_4"	"mean_5"	"mean_6"	"mean_7"	"mean_8"	"mean_9"	"min_1"	"min_10"	"min_11"	"min_12"	"min_2"	"min_3"	"min_4"	"min_5"	"min_6"	"min_7"	"min_8"	"min_9"
1997	0,674193548387097	8,32741935483871	4,48833333333333	2,15161290322581	3,08214285714286	6,92258064516129	8,57666666666667	13,4838709677419	20,2716666666667	23,6935483870968	25,4806451612903	17,04	-2,04032258064516	5,08548387096774	2,41666666666667	0,267741935483871	0,291071428571429	2,4741935483871	3,87166666666667	8,7258064516129	15,615	18,7258064516129	20,5564516129032	13,0166666666667	-4,88709677419355	2,54677419354839	0,598333333333333	-1,58225806451613	-2,2	-1,48064516129032	-0,0116666666666667	4,31935483870968	11,345	14,0790322580645	16,1709677419355	9,89166666666667
1998	2,50645161290323	10,0274193548387	1,74166666666667	1,90322580645161	4,95	3,26935483870968	7,38	15,2903225806452	16,9916666666667	19,9225806451613	18,5145161290323	16,4233333333333	0,414516129032258	6,80967741935484	-0,185	-0,05	2,13571428571429	-0,0258064516129032	3,76833333333333	10,1112903225806	13,18	15,9935483870968	14,5741935483871	12,8066666666667	-1,33064516129032	3,78548387096774	-1,825	-2,19677419354839	-0,669642857142857	-3,06774193548387	0,921666666666667	5,49032258064516	10,045	12,7725806451613	11,491935483871	9,59333333333333
1999	0,583870967741936	10,6338709677419	7,06333333333333	1,50806451612903	1,1125	4,10645161290323	11,7733333333333	14,4887096774194	20,2766666666667	24,0048387096774	21,0887096774194	19,36	-1,63387096774194	8,01129032258065	4,57833333333333	-1,19193548387097	-1,8625	1,58064516129032	7,18166666666667	9,47096774193548	15,66	19,0112903225806	16,2677419354839	15,3116666666667	-3,90322580645161	5,67258064516129	2,36333333333333	-3,73548387096774	-4,65357142857143	-0,546774193548387	3,55833333333333	4,91129032258065	11,2433333333333	14,3209677419355	11,6661290322581	11,3666666666667
2000	2,41129032258065	12,9129032258065	8,365	4,43548387096774	3,26551724137931	5,91129032258065	10,67	16,4903225806452	18,4	19,7822580645161	19,9516129032258	16,1583333333333	-0,185483870967742	10,6612903225806	6,89	2,54838709677419	0,462068965517241	1,81774193548387	6,29833333333333	11,6774193548387	13,9016666666667	16,0661290322581	15,7129032258065	11,17	-2,8758064516129	8,62741935483871	5,24333333333333	0,916129032258064	-2,22931034482759	-1,88548387096774	2,63166666666667	7,57096774193548	10,0683333333333	13,2129032258065	11,9838709677419	6,79166666666667
2001	1,40967741935484	12,7725806451613	5,90666666666667	0,912903225806451	0,0678571428571429	2,49677419354839	9,08333333333333	15,8145161290323	19,4216666666667	23,7274193548387	20,8322580645161	15,7616666666667	-0,290322580645161	9,96451612903226	3,08666666666667	-1,4	-3,30178571428571	-0,87258064516129	5,30833333333333	10,7225806451613	14,995	19,3	16,5677419354839	12,3483333333333	-2,0241935483871	7,34838709677419	0,545	-3,94032258064516	-6,34285714285714	-3,96935483870968	2,30166666666667	6,12741935483871	10,49	15,05	12,7774193548387	9,39
2002	2,41935483870968	7,08225806451613	3,175	-1,21129032258065	4,42321428571429	6,36129032258065	11,025	16,5403225806452	21,6333333333333	22,5967741935484	25,0354838709677	17,785	-0,15	4,06129032258065	1,265	-3,78064516129032	1,69821428571429	2,44032258064516	6,04666666666667	11,6967741935484	16,6133333333333	18,1016129032258	20,0274193548387	12,6833333333333	-3,01129032258065	1,14516129032258	-0,775	-6,30483870967742	-0,410714285714286	-0,896774193548387	1,98666666666667	7,26612903225806	11,7533333333333	14,2145161290323	15,2354838709677	7,46833333333333
2003	-0,245161290322581	8,23064516129032	6,41666666666667	3,93709677419355	-0,4875	7,14838709677419	8,55166666666667	15,508064516129	20,43	24,1	21,7338709677419	17,5883333333333	-3,29838709677419	4,71935483870968	4,41833333333333	1,38064516129032	-3,92142857142857	2,71612903225806	3,925	10,7225806451613	15,2916666666667	19,8032258064516	17,1725806451613	12,95	-6,80806451612903	1,30161290322581	2,2	-1,10483870967742	-7,39107142857143	-1,05483870967742	-0,235	6,35967741935484	10,9766666666667	15,7806451612903	13,4435483870968	8,70333333333333
2004	-1,18709677419355	10,0564516129032	4,28333333333333	3,75967741935484	2,3	5,48709677419355	11,02	15,6838709677419	18,9233333333333	20,6612903225806	22,0935483870968	17,1633333333333	-3,45322580645161	7,36129032258065	1,26666666666667	1,25161290322581	-0,93448275862069	1,68387096774194	5,94666666666667	10,5161290322581	14,135	16,3693548387097	17,8145161290323	12,8516666666667	-6,14354838709677	4,81774193548387	-1,82166666666667	-1,20645161290323	-3,91724137931034	-1,58709677419355	1,19666666666667	6,16129032258065	10,0116666666667	12,6145161290323	14,0725806451613	9,3
2005	3,24677419354839	11,6	5,865	1,71935483870968	0,494642857142857	3,00322580645161	11,1833333333333	15,0209677419355	19,28	22,9790322580645	20,8161290322581	17,3866666666667	1,12741935483871	7,86451612903226	3,915	-0,132258064516129	-1,91785714285714	-2,15483870967742	5,87666666666667	10,008064516129	14,3966666666667	18,3564516129032	16,3935483870968	12,9083333333333	-0,956451612903226	4,68064516129032	2,03333333333333	-2,05	-4,11071428571429	-7,01290322580645	0,655	5,9258064516129	9,91166666666667	13,6951612903226	12,5306451612903	8,95666666666667
2006	-0,42741935483871	12,7338709677419	6,86333333333333	6,76290322580645	-0,0732142857142857	0,662903225806452	8,935	15,6516129032258	21,0716666666667	25,0709677419355	22,8838709677419	19,4483333333333	-2,63548387096774	9,69516129032258	4,635	4,46290322580645	-2,98392857142857	-3,65967741935484	4,61166666666667	10,4661290322581	15,9633333333333	19,9129032258065	18,2467741935484	15,0833333333333	-5,02258064516129	6,96774193548387	2,43833333333333	2,48548387096774	-5,60178571428571	-7,56451612903226	1,12333333333333	5,8241935483871	11,1083333333333	14,9725806451613	14,1048387096774	11,0216666666667
