"year" "id"
"554" "1990" "old_227"
"555" "1990" "old_385"
"556" "1990" "old_410"
"557" "1990" "old_447"
"558" "1990" "old_796"
"559" "1990" "old_283"
"560" "1990" "old_251"
"561" "1990" "old_132"
"562" "1990" "old_255"
"563" "1990" "old_430"
"564" "1990" "old_187"
"565" "1990" "old_678"
"566" "1990" "old_6"
"567" "1990" "old_408"
"568" "1990" "old_233"
"569" "1990" "old_543"
"570" "1990" "old_396"
"571" "1990" "old_789"
"572" "1990" "old_813"
"573" "1990" "old_782"
"574" "1990" "old_419"
"575" "1990" "old_695"
"576" "1990" "old_456"
"577" "1990" "old_376"
"578" "1990" "old_124"
"579" "1990" "old_96"
"580" "1990" "old_469"
"581" "1990" "old_60"
"582" "1990" "old_444"
"583" "1990" "old_811"
"584" "1990" "old_466"
"585" "1990" "old_435"
"586" "1990" "old_833"
"587" "1990" "old_449"
"588" "1990" "old_863"
"589" "1990" "old_359"
"590" "1990" "old_378"
"591" "1990" "old_249"
"592" "1990" "old_354"
"593" "1990" "old_442"
"594" "1990" "old_526"
"595" "1990" "old_832"
"596" "1990" "old_236"
"597" "1990" "old_450"
"598" "1990" "old_386"
"599" "1990" "old_72"
"600" "1990" "old_416"
"601" "1990" "old_473"
"602" "1990" "old_415"
"603" "1990" "old_1028"
"604" "1990" "old_488"
"605" "1990" "old_4"
"606" "1990" "old_391"
"607" "1990" "old_692"
"608" "1990" "old_199"
"609" "1990" "old_751"
"610" "1990" "old_346"
"611" "1990" "old_465"
"612" "1990" "old_246"
"613" "1990" "old_289"
"614" "1990" "old_214"
"615" "1990" "old_527"
"616" "1990" "old_957"
"617" "1990" "old_263"
"618" "1990" "old_1045"
"619" "1990" "old_356"
"620" "1990" "old_73"
"621" "1990" "old_1044"
"622" "1990" "old_736"
"623" "1990" "old_265"
"624" "1990" "old_752"
"625" "1990" "old_453"
"626" "1990" "old_192"
"627" "1990" "old_59"
"628" "1990" "old_243"
"629" "1990" "old_681"
"630" "1990" "old_422"
"631" "1990" "old_462"
"632" "1990" "old_285"
"633" "1990" "old_1024"
"634" "1990" "old_436"
"635" "1990" "old_445"
"636" "1990" "old_400"
"637" "1990" "old_269"
"638" "1990" "old_147"
"639" "1991" "old_437"
"640" "1991" "old_210"
"641" "1991" "old_753"
"642" "1991" "old_179"
"643" "1991" "old_450"
"644" "1991" "old_221"
"645" "1991" "old_544"
"646" "1991" "old_681"
"647" "1991" "old_245"
"648" "1991" "old_286"
"649" "1991" "old_263"
"650" "1991" "old_77"
"651" "1991" "old_456"
"652" "1991" "old_462"
"653" "1991" "old_405"
"654" "1991" "old_383"
"655" "1991" "old_750"
"656" "1991" "old_212"
"657" "1991" "old_783"
"658" "1991" "old_449"
"659" "1991" "old_742"
"660" "1991" "old_236"
"661" "1991" "old_229"
"662" "1991" "old_283"
"663" "1991" "old_19"
"664" "1991" "old_432"
"665" "1991" "old_792"
"666" "1991" "old_336"
"667" "1991" "old_264"
"668" "1991" "old_69"
"669" "1991" "old_397"
"670" "1991" "old_441"
"671" "1991" "old_3"
"672" "1991" "old_277"
"673" "1991" "old_385"
"674" "1991" "old_290"
"675" "1991" "old_71"
"676" "1991" "old_176"
"677" "1991" "old_469"
"678" "1991" "old_269"
"679" "1991" "old_91"
"680" "1991" "old_1"
"681" "1991" "old_440"
"682" "1991" "old_439"
"683" "1991" "old_223"
"684" "1991" "old_255"
"685" "1991" "old_24"
"686" "1991" "old_412"
"687" "1991" "old_96"
"688" "1991" "old_426"
"689" "1991" "old_543"
"690" "1991" "old_251"
"691" "1991" "old_444"
"692" "1991" "old_208"
"693" "1991" "old_218"
"694" "1991" "old_414"
"695" "1991" "old_92"
"696" "1991" "old_278"
"697" "1991" "old_4"
"698" "1991" "old_100"
"699" "1991" "old_65"
"700" "1991" "old_1099"
"701" "1991" "old_360"
"702" "1991" "old_260"
"703" "1991" "old_458"
"704" "1991" "old_453"
"705" "1991" "old_325"
"706" "1991" "old_98"
"707" "1991" "old_203"
"708" "1991" "old_248"
"709" "1991" "old_1037"
"710" "1991" "old_694"
"711" "1991" "old_246"
"712" "1991" "old_396"
"713" "1991" "old_93"
"714" "1991" "old_88"
"715" "1991" "old_418"
"716" "1991" "old_102"
"717" "1991" "old_369"
"718" "1991" "old_751"
"719" "1991" "old_406"
"720" "1991" "old_224"
"721" "1991" "old_863"
"722" "1991" "old_347"
"723" "1991" "old_470"
"724" "1991" "old_446"
"725" "1991" "old_289"
"726" "1991" "old_381"
"727" "1991" "old_274"
"728" "1991" "old_1045"
"729" "1991" "old_268"
"730" "1991" "old_693"
"731" "1991" "old_232"
"732" "1991" "old_265"
"733" "1991" "old_252"
"734" "1991" "old_816"
"735" "1991" "old_695"
"736" "1991" "old_276"
"737" "1991" "old_76"
"738" "1991" "old_237"
"739" "1991" "old_354"
"740" "1991" "old_417"
"741" "1991" "old_253"
"742" "1991" "old_789"
"743" "1991" "old_746"
"744" "1991" "old_74"
"745" "1991" "old_428"
"746" "1991" "old_464"
"747" "1991" "old_341"
"748" "1991" "old_457"
"749" "1991" "old_400"
"750" "1991" "old_350"
"751" "1991" "old_247"
"752" "1991" "old_727"
"753" "1991" "old_78"
"754" "1991" "old_64"
"755" "1991" "old_904"
"756" "1991" "old_6"
"757" "1991" "old_63"
"758" "1991" "old_238"
"759" "1991" "old_874"
"760" "1991" "old_1026"
"761" "1991" "old_420"
"762" "1991" "old_814"
"763" "1991" "old_1044"
"764" "1991" "old_97"
"765" "1991" "old_382"
"766" "1991" "old_219"
"767" "1991" "old_870"
"768" "1991" "old_869"
"769" "1991" "old_195"
"770" "1991" "old_398"
"771" "1991" "old_527"
"772" "1991" "old_244"
"773" "1991" "old_840"
"774" "1991" "old_827"
"775" "1991" "old_391"
"776" "1991" "old_261"
"777" "1991" "old_182"
"778" "1991" "old_376"
"779" "1991" "old_460"
"780" "1991" "old_213"
"781" "1991" "old_259"
"782" "1991" "old_410"
"783" "1991" "old_62"
"784" "1991" "old_392"
"785" "1991" "old_433"
"786" "1991" "old_226"
"787" "1991" "old_419"
"788" "1991" "old_206"
"789" "1991" "old_199"
"790" "1991" "old_407"
"791" "1991" "old_171"
