"year"	"id"	"data"	"FFD_corr"	"FFD_action"	"grazing"	"shoot_vol"	"shoot_vol_action"	"cum_n_fl"	"cum_n_fl_action"	"n_fr"	"n_ovules"	"total_n_seeds"	"total_n_intact_seeds"	"FFD"	"FFD_imputed"
"182"	2006	176	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"183"	2006	177	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"184"	2006	178	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"185"	2006	179	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"186"	2006	180	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"187"	2006	181	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"188"	2006	182	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	2006	183	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"190"	2006	184	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	2006	185	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"192"	2006	186	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	2006	187	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"194"	2006	188	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"195"	2006	189	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	2006	190	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"197"	2006	191	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	2006	192	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"199"	2006	193	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"200"	2006	194	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	2006	195	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"202"	2006	196	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	2006	197	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	2006	198	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"205"	2006	199	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"206"	2006	200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"207"	2006	201	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"208"	2006	202	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	2006	203	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
